description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Bebida de Aloe Vera con sabor a piña de 300 mL,S/ 5.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,300.0,ml,5.9,tottus,SAPPE,BEBIDA HIDRATANTE
Bebida Rehidratante Flashlyte Fresa Botella 625ml,S/ 6.00,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,625.0,ml,6.0,wong,,BEBIDA HIDRATANTE
BEBIDA ELECTROL FLASHLYTE FRESA BOT625ML,S/ 6,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,625.0,ml,6.0,tottus,,BEBIDA HIDRATANTE
BEBIDA ELECTROL FLASHLYTE UVA BOT X625ML,S/ 6,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,625.0,ml,6.0,tottus,,BEBIDA HIDRATANTE
Bebida Rehidratante SUEROX Sabor a Manzana Botella 630ml,S/ 6.50,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,630.0,ml,6.5,vivanda,SUEROX,BEBIDA HIDRATANTE
Bebida Rehidratante Suerox Sabor Naranja - Mandarina Botella 630ml,S/ 6.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,630.0,ml,6.5,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Suerox Sabor Naranja - Mandarina Botella 630ml,S/ 6.50,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,630.0,ml,6.5,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Suerox Kiwi Botella 630ml,S/ 6.50,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,630.0,ml,6.5,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Suerox Mora Azul Botella 630ml,S/ 6.50,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,630.0,ml,6.5,metro,,BEBIDA HIDRATANTE
"REHIDRATANTE SUEROX 630ML , FRUTOS ROJOS",S/ 6.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,630.0,ml,6.5,wong,,BEBIDA HIDRATANTE
Rehidratante Fresa Kiwi 630 mL,S/ 6.50,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,630.0,ml,6.5,tottus,SUEROX,BEBIDA HIDRATANTE
ADULTO FRUTOS ROJOS 630 ML,S/ 6.50,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,630.0,ml,6.5,tottus,SUEROX,BEBIDA HIDRATANTE
Bebida de Aloe Vera con sabor a uva baja en azúcar de 300 mL,S/ 6.50,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,300.0,ml,6.5,tottus,SAPPE,BEBIDA HIDRATANTE
Bebida Rehidratante Suerox Kiwi Botella 630ml,S/ 6.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,630.0,ml,6.5,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Suerox Mora Azul Botella 630ml,S/ 6.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,630.0,ml,6.5,wong,,BEBIDA HIDRATANTE
Ginger Ale 1.5 L,S/ 6.60,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.5,l,6.6,tottus,SCHWEPPES,BEBIDA HIDRATANTE
Bebida con Electrolitos Electrolife Uva Botella 625ml,S/ 6.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,625.0,ml,6.9,wong,,BEBIDA HIDRATANTE
Bebida con Electrolitos Electrolife Fresa Kiwi Botella 625ml,S/ 6.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,625.0,ml,6.9,wong,,BEBIDA HIDRATANTE
Bebida con Electrolitos Electrolife Fresa Botella 625ml,S/ 6.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,625.0,ml,6.9,wong,,BEBIDA HIDRATANTE
Bebida Energizante Energy Ultra 473 mL,S/ 8,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,473.0,ml,8.0,tottus,MONSTER,BEBIDA HIDRATANTE
Electrolight 3 Sabores Six Pack Botella 475 ml c/u - ELECTRO 6P 3 SAB,S/ 9.60,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,475.0,ml,9.6,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Sporade Pack Surtido 6un x 500ml,S/ 9.90,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,6.0,un,9.9,metro,,BEBIDA HIDRATANTE
