Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp
Pedidos Ya Lince,Abarrotes,Azucar Blanca Cartavio x 5 kg bolsa,,28.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Lenteja Bebé Vallenorte Bolsa 500 Gr,"Contiene 500 g.
Alto aporte de nutrientes y vitaminas.
El mejor sabor.
Alimento natural y saludable",6.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Hongos con Laurel Sibarita Sobre 10 g,,2.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Mantequilla De Mani Doy Pack 200Gr Union,,11.0,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Inst Gourmet Frasco Altomayo 45 Gr,,12.4,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Harina Blanca Flor Preparada 1 kg,,9.1,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Inst Gourmet Frasco Altomayo 170 Gr,,30.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Vaso Pollo + Quinoa,,4.2,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Tableta De Chocolate Sol Del Cusco Tradicional 90 Gr,,2.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Instantáneo Altomayo Gourmet Doy pack 150 g,,27.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Cereal Angel Copix Chocolate Con Marshmallows Bolsa 380 g,,12.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Crema de Rocoto Uchucuta AlaCena Doypack 400 g,"Alacena trae una rica y exclusiva crema de rocoto, perfecta para condimentar tus comidas con el rico sabor de casa.",14.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Avena Quaker Tradicional 500g,,8.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Florida Filete De Atún Agua Y Sal 140 g,,7.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Vainilla Umsha 90ml,Saborizante artificial,2.9,2024-12-08 23:54:54.116430
