unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
,Pan para Hamburguesa Sin Gluten Molinos del Mundo Bolsa 300 g,S/ 16.50,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,300.0,g,Pan para Hamburguesa Sin Gluten Molinos del Mundo Bolsa,16.5,wong,,HAMBURGUESA
Bolsa 350g,Chicharrón de Pollo AVINKA Bolsa 350g,S/ 16.70 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,350.0,g,Chicharrón de Pollo AVINKA Bolsa,16.7,plaza_vea,,HAMBURGUESA
Caja 500g,Hamburguesa de Pescado BELL'S Caja 500g,S/ 16.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,500.0,g,Hamburguesa de Pescado BELL'S Caja,16.9,plaza_vea,,HAMBURGUESA
Presentación 1 kg aprox.,Hamburguesa de Pollo Casera REDONDOS,S/ 16.90 x kg,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,1.0,kg,Hamburguesa de Pollo Casera REDONDOS,16.9,plaza_vea,,HAMBURGUESA
,Queso para Hamburguesa en Tajadas PRESIDENT 200g,S/ 16.90,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,200.0,g,Queso para Hamburguesa en Tajadas PRESIDENT,16.9,vivanda,PRESIDENT,HAMBURGUESA
Caja 400g,Hamburguesa Vegetal de Finas Hierbas DELLANATU...,S/ 16.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,400.0,g,Hamburguesa Vegetal de Finas Hierbas DELLANATU,16.9,plaza_vea,,HAMBURGUESA
,Pan Hamburguesa con Tinta de Calamar Wong 4un,S/ 16.90,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,4.0,un,Pan Hamburguesa con Tinta de Calamar Wong,16.9,wong,,HAMBURGUESA
Caja 400g,Hamburguesa de Garbanzos DELLANATURA Caja 400g,S/ 16.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,400.0,g,Hamburguesa de Garbanzos DELLANATURA Caja,16.9,plaza_vea,,HAMBURGUESA
,Trilogía de Mini Burgers Vegetarianas Della Natura 12un,S/ 16.90,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,12.0,un,Trilogía de Mini Burgers Vegetarianas Della Natura,16.9,wong,,HAMBURGUESA
,Hamburguesa de Pescado BELL'S Caja 500g,S/ 17.40,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,500.0,g,Hamburguesa de Pescado BELL'S Caja,17.4,vivanda,BELL'S,HAMBURGUESA
Caja 240g,Hamburguesa Gluten Free FLEXFOOD Caja 240g,S/ 17.50 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,240.0,g,Hamburguesa Gluten Free FLEXFOOD Caja,17.5,plaza_vea,,HAMBURGUESA
,Hamburguesa de Salmón Nutritiva 360g,S/ 17.50,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,360.0,g,Hamburguesa de Salmón Nutritiva,17.5,wong,,HAMBURGUESA
,Hamburguesa Gluten Free FLEXFOOD Caja 240g,S/ 17.50,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,240.0,g,Hamburguesa Gluten Free FLEXFOOD Caja,17.5,vivanda,FLEXFOOD,HAMBURGUESA
Bolsa 600g,Mini Hamburguesas de Res RANCHERAS Bolsa 600g,S/ 17.70 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,600.0,g,Mini Hamburguesas de Res RANCHERAS Bolsa,17.7,plaza_vea,,HAMBURGUESA
Caja 500g,Nuggets de Pescado SEAFROST Caja 500g,S/ 17.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,500.0,g,Nuggets de Pescado SEAFROST Caja,17.9,plaza_vea,,HAMBURGUESA
Bolsa 4un,Hamburguesa de Salmón UMI Bolsa 360g,S/ 17.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,4.0,un,Hamburguesa de Salmón UMI Bolsa,17.9,plaza_vea,,HAMBURGUESA
,HAMBURGUESA PARRILLERA DE POLLO - PAQUETE 600 GR,S/ 17.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,600.0,g,HAMBURGUESA PARRILLERA DE POLLO - PAQUETE R,17.9,tottus,REDONDOS,HAMBURGUESA
,Hamburguesa de Pollo Avinka 4un,S/ 17.90,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,4.0,un,Hamburguesa de Pollo Avinka,17.9,wong,,HAMBURGUESA
