description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 8.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,50.0,g,Chocolate con Leche Milky Pecanas y Pasas 40% Cacao,8.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche sin Azúcar 40% Cacao Milky La Ibérica Barra 50 g,S/ 8.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,50.0,g,Chocolate con Leche sin Azúcar 40% Cacao Milky La Ibérica Barra,8.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Oscuro La Ibérica Fondy Dark 62% Cacao 50g,S/ 8.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,50.0,g,Chocolate Oscuro La Ibérica Fondy Dark 62% Cacao,8.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate HERSHEY'S Extra Cremoso Tableta 82g,S/ 8.50,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,82.0,g,Chocolate HERSHEY'S Extra Cremoso Tableta,8.5,vivanda,HERSHEY S,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Fondy Crema de Menta 50g,S/ 8.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,50.0,g,Chocolate con Leche Fondy Crema de Menta,8.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza con Azúcar 65% Cacao Tableta 90 g,S/ 8.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,90.0,g,Chocolate para Taza con Azúcar 65% Cacao Tableta,8.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche Hershey's Kisses 74g,S/ 9.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,74.0,g,Chocolate de Leche Hershey's Kisses,9.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche Hershey's Kisses 74g,S/ 9.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,74.0,g,Chocolate de Leche Hershey's Kisses,9.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Blanco con Galletas Hershey's Kisses Cookies'n Cream 74g,S/ 9.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,74.0,g,Chocolate Blanco con Galletas Hershey's Kisses Cookies'n Cream,9.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Stracciatella Schogetten Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate Stracciatella Schogetten Tableta,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche Hershey's Kisses 74g,S/ 9.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,74.0,g,Chocolate de Leche Hershey's Kisses,9.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza Cuisine & Co 90g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,90.0,g,Chocolate para Taza Cuisine & Co,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Blanco con Galletas Sublime Cookies Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate Blanco con Galletas Sublime Cookies Tableta,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche y Almendras Hershey's Kisses 74g,S/ 9.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,74.0,g,Chocolate con Leche y Almendras Hershey's Kisses,9.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza Cuisine & Co 90g,S/ 9.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,90.0,g,Chocolate para Taza Cuisine & Co,9.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Schogetten Alpine Milk Hazelnut Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate Schogetten Alpine Milk Hazelnut Tableta,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Schogetten Trumpf White Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate Schogetten Trumpf White Tableta,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Yoghurt Strawberry Schogetten Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate Yoghurt Strawberry Schogetten Tableta,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche y Almendras Sublime Tableta 100 g,S/ 9.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,100.0,g,Chocolate con Leche y Almendras Sublime Tableta,9.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate 2 CERRITOS con Pasas Bolsa 125g,S/ 10.10,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,125.0,g,Chocolate 2 CERRITOS con Pasas Bolsa,10.1,vivanda,NURIA,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Nestlé Classic 80g,S/ 10.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,80.0,g,Chocolate con Leche Nestlé Classic,10.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
