description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Pituca Chips Original 146g,S/ 8.20,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,146.0,g,Pituca Chips Original,8.2,wong,,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Spearmint Mentos Pure Fresh Frasco 15 unid,S/ 8.30,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,15.0,un,Chicle Sin Azúcar Spearmint Mentos Pure Fresh Frasco,8.3,metro,,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Mentos Full Fruit Frasco 15 unid,S/ 8.30,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,15.0,un,Chicle Sin Azúcar Mentos Full Fruit Frasco,8.3,wong,,CHIFLE (BOCADITOS)
Chifle Crickets Leche De Tigre 250 g,S/ 8.48,tottus,CHIFLE (BOCADITOS),2024-12-05 12:43:20.637065,250.0,g,Chifle Crickets Leche De Tigre,8.48,tottus,CRICKET'S,CHIFLE (BOCADITOS)
Chifles Crickets Sabor Leche de Tigre 150g,S/ 8.50,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,150.0,g,Chifles Crickets Sabor Leche de Tigre,8.5,wong,,CHIFLE (BOCADITOS)
Yuca en Hojuelas Inka Chips 130g,S/ 8.50,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,130.0,g,Yuca en Hojuelas Inka Chips,8.5,metro,,CHIFLE (BOCADITOS)
Caramelos Arcor Halloween Sangrientos 312g,S/ 8.50,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,312.0,g,Caramelos Arcor Halloween Sangrientos,8.5,metro,,CHIFLE (BOCADITOS)
Chifles Crickets Sabor Leche de Tigre 150g,S/ 8.50,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,150.0,g,Chifles Crickets Sabor Leche de Tigre,8.5,metro,,CHIFLE (BOCADITOS)
Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa 150g,S/ 8.50,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,150.0,g,Chifle Salado CRICKETS Sabor Leche de Tigre Bolsa,8.5,vivanda,CRICKET S,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Trident X Splash Fresa y Limón 23un,S/ 8.90,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,23.0,un,Chicle Sin Azúcar Trident X Splash Fresa y Limón,8.9,wong,,CHIFLE (BOCADITOS)
Fideos Especiales Tipo Chifa La Pasta 1kg,S/ 8.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,1.0,kg,Fideos Especiales Tipo Chifa La Pasta,8.9,metro,,CHIFLE (BOCADITOS)
Golosina ARCOR Masticable Frutas Bolsa 412 g,S/ 8.90,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,412.0,g,Golosina ARCOR Masticable Frutas Bolsa,8.9,vega,Arcor,CHIFLE (BOCADITOS)
Chicle Sin Azúcar Trident X Splash Fresa y Limón 23un,S/ 8.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,23.0,un,Chicle Sin Azúcar Trident X Splash Fresa y Limón,8.9,metro,,CHIFLE (BOCADITOS)
Yuca en Hojuelas Inka Chips 130g,S/ 9.00,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,130.0,g,Yuca en Hojuelas Inka Chips,9.0,wong,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Sabor Menta 45.5g,S/ 9.20,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,45.5,g,Chicles Sin Azúcar Trident Sabor Menta,9.2,metro,,CHIFLE (BOCADITOS)
Chicles Sin Azúcar Trident Fresa 35un,S/ 9.20,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,35.0,un,Chicles Sin Azúcar Trident Fresa,9.2,metro,,CHIFLE (BOCADITOS)
