description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Ají Amarillo Molido Piki 350g,S/ 10.90,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,350.0,g,Ají Amarillo Molido Piki,10.9,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo en Pasta Arezzo 500g,S/ 10.90,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,500.0,g,Ají Amarillo en Pasta Arezzo,10.9,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Rocoto x kg,S/ 11.24 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Rocoto,11.24,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Café Molido Altomayo Clásico 200g,S/ 11.60,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,200.0,g,Café Molido Altomayo Clásico,11.6,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Café Molido SELLO ROJO Tradición Bolsa 212g,S/ 11.70,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,212.0,g,Café Molido SELLO ROJO Tradición Bolsa,11.7,vega,Sello Rojo,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Limo x kg,S/ 11.89 x kg,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,1.0,kg,Ají Limo,11.89,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo x kg,S/ 11.99 x kg,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,1.0,kg,Ají Amarillo,11.99,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Café Molido Cafetal Selecto 200g,S/ 12.10,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,200.0,g,Café Molido Cafetal Selecto,12.1,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo PIKI Molido Doypack 350Gr,S/ 12.10,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,350.0,g,Ajo PIKI Molido Doypack r,12.1,vivanda,PIKI,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo Molido Piki 350g,S/ 12.50,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,350.0,g,Ajo Molido Piki,12.5,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Café Molido y Tostado Cuisine & Co 220g,S/ 12.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,220.0,g,Café Molido y Tostado Cuisine & Co,12.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo Molido Piki 350g,S/ 12.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,350.0,g,Ajo Molido Piki,12.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa PIKI Ají panca molido Doypack 350g,S/ 12.50,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,350.0,g,Salsa PIKI Ají panca molido Doypack,12.5,vivanda,PIKI,AJÍ PANCA MOLIDO (ESPECIAL)
Crema de Ají TARI Doypack 400g,S/ 12.90,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,400.0,g,Crema de Ají TARI Doypack,12.9,vega,Tari,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa de Uchucuta ALACENA Doypack 400g,S/ 12.90 4%,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,400.0,g,Salsa de Uchucuta ALACENA Doypack,12.9,vega,Alacena,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de Gallina con Arroz Blanco Cuisine & Co 400g,S/ 13.20,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,400.0,g,Ají de Gallina con Arroz Blanco Cuisine & Co,13.2,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de la Abuela Cuisine & Co 450g,S/ 13.20,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,450.0,g,Ají de la Abuela Cuisine & Co,13.2,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de La Casa Wong 450g,S/ 13.20,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,450.0,g,Ají de La Casa Wong,13.2,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Limo Metro x kg,S/ 13.29 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Ají Limo Metro,13.29,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Despepitado Naturandes Bandeja 100g,S/ 13.30,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,100.0,g,Ají Panca Despepitado Naturandes Bandeja,13.3,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Crema de Ají AlaCena Tarí 400g,S/ 13.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,400.0,g,Crema de Ají AlaCena Tarí,13.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Crema de Ají y Queso AlaCena Huancaína 400g,S/ 13.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,400.0,g,Crema de Ají y Queso AlaCena Huancaína,13.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Crema de Ají AlaCena Tarí 400g,S/ 13.50,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,400.0,g,Crema de Ají AlaCena Tarí,13.5,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Crema ALACENA Tarí Base de Ají Doypack 400g,S/ 13.50,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,400.0,g,Crema ALACENA Tarí Base de Ají Doypack,13.5,vivanda,TARÍ,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo Molido Mr. Ajo Pote 120g,S/ 13.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,120.0,g,Ajo Molido Mr. Ajo Pote,13.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Crema de Ají y Queso AlaCena Huancaína 400g,S/ 13.50,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,400.0,g,Crema de Ají y Queso AlaCena Huancaína,13.5,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Mirasol Despepitado Naturandes Bandeja 100g,S/ 13.60,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,100.0,g,Ají Mirasol Despepitado Naturandes Bandeja,13.6,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Mirasol Despepitado Naturandes Bandeja 100g,S/ 13.60,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,100.0,g,Ají Mirasol Despepitado Naturandes Bandeja,13.6,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Criollo Libby's 380g,S/ 14.40,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,380.0,g,Ají Criollo Libby's,14.4,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají de La Casa Metro 450g,S/ 14.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,450.0,g,Ají de La Casa Metro,14.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Tapenade Ají Limo OLIVOS DEL SUR Frasco 260g,S/ 14.70,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,260.0,g,Tapenade Ají Limo OLIVOS DEL SUR Frasco,14.7,vivanda,OLIVOS DEL SUR,AJÍ PANCA MOLIDO (ESPECIAL)
Rocoto Metro x kg,S/ 14.79 x kg,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,1.0,kg,Rocoto Metro,14.79,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Rocoto x kg,S/ 14.99 x kg,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,1.0,kg,Rocoto,14.99,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Granulado Oli21 60g,S/ 15.50,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,60.0,g,Ají Panca Granulado Oli21,15.5,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Cereal AGE Salvado de Trigo Molido Bolsa 500g,S/ 15.70,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,500.0,g,Cereal AGE Salvado de Trigo Molido Bolsa,15.7,vivanda,AGE,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa de Ají Amarillo Base Micha MT 500g,S/ 15.76,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,500.0,g,Salsa de Ají Amarillo Base Micha MT,15.76,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Criollo 450g,S/ 15.90,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,450.0,g,Ají Criollo,15.9,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa de Ají Panca 550g,S/ 15.90,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,550.0,g,Salsa de Ají Panca,15.9,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
